location	date	leadtime	lat	lon	alt	fcst2	fcst3	fcst	obs	elaf	deltaT	lafNN
17150	20151224	12.0	59.3742	10.798	40.0	7.4367676	7.6418457	7.449463	8.2	0.0	-0.205078125	0.94
17150	20151225	12.0	59.3742	10.798	40.0	5.1002502	5.948883	5.087555	5.1	1.0	-0.8486328125	1.0
17150	20151226	12.0	59.3742	10.798	40.0	-0.35595703	0.9897461	-0.03857422	-2.0	1.0	-1.345703125	0.76
17150	20151227	12.0	59.3742	10.798	40.0	-2.0432434	-1.1428528	-2.0080872	-2.8	1.0	-0.900390625	0.96
17150	20151228	12.0	59.3742	10.798	40.0	-2.3617249	-1.316803	-2.1263733	-1.0	0.0	-1.044921875	0.77
17150	20151229	12.0	59.3742	10.798	40.0	-1.6850891	-0.8891907	-1.6382141	-1.0	0.14	-0.7958984375	0.94
17150	20151230	12.0	59.3742	10.798	40.0	2.1405334	4.268463	1.8612366	3.0	0.6	-2.1279296875	1.0
17150	20151231	12.0	59.3742	10.798	40.0	-0.03060913	1.0709534	-0.05697632	1.2	0.0	-1.1015625	1.0
17280	20141201	12.0	59.4352	10.578	14.0	-0.6526184	0.16329956	-0.3113098	1.0	0.0	-0.81591796875	0.58
17280	20141202	12.0	59.4352	10.578	14.0	0.685791	2.1906738	1.3283691	2.3	0.0	-1.5048828125	0.57
17280	20141203	12.0	59.4352	10.578	14.0	0.75601196	0.9684143	1.1412659	1.7	0.0	-0.21240234375	0.0
17280	20141204	12.0	59.4352	10.578	14.0	1.7289124	2.5023499	1.8070374	1.2	1.0	-0.7734375	0.9
17280	20141205	12.0	59.4352	10.578	14.0	0.7059021	0.73617554	0.72787476	0.5	1.0	-0.0302734375	0.27
17280	20141206	12.0	59.4352	10.578	14.0	-1.1716919	-1.2839966	-0.8435669	2.1	1.0	0.1123046875	1.0
17280	20141207	12.0	59.4352	10.578	14.0	7.315094	7.193512	7.3624573	6.7	0.0	0.12158203125	1.0
17280	20141208	12.0	59.4352	10.578	14.0	1.2666931	2.099701	1.7305603	3.7	0.0	-0.8330078125	0.44
17280	20141209	12.0	59.4352	10.578	14.0	-2.3425598	0.039276123	-1.3669739	0.8	0.0	-2.3818359375	0.59
17280	20141210	12.0	59.4352	10.578	14.0	4.0801086	4.570343	4.273468	5.0	0.0	-0.490234375	0.61
17280	20141211	12.0	59.4352	10.578	14.0	4.114044	3.8474426	4.0066223	4.3	1.0	0.2666015625	0.6
17280	20141212	12.0	59.4352	10.578	14.0	1.7460632	2.2348328	1.8930359	3.9	0.0	-0.48876953125	0.7
17280	20141213	12.0	59.4352	10.578	14.0	0.42416382	1.5657654	0.87435913	2.2	0.0	-1.1416015625	0.61
17280	20141214	12.0	59.4352	10.578	14.0	3.6634827	3.1634827	3.3143616	5.6	1.0	0.5	0.3
17280	20141215	12.0	59.4352	10.578	14.0	3.6266785	3.974823	3.712616	5.1	0.0	-0.34814453125	0.75
17280	20141216	12.0	59.4352	10.578	14.0	1.4404907	2.1143188	1.7192993	3.3	0.0	-0.673828125	0.59
17280	20141217	12.0	59.4352	10.578	14.0	-3.4701233	-1.2982483	-2.3841858	-1.1	0.0	-2.171875	0.5
17280	20141218	12.0	59.4352	10.578	14.0	0.3421936	1.0209045	0.6703186	0.9	0.18	-0.6787109375	0.52
17280	20141219	12.0	59.4352	10.578	14.0	1.5496521	1.8191833	1.641449	3.2	0.0	-0.26953125	0.66
17280	20141220	12.0	59.4352	10.578	14.0	0.7119446	1.8135071	1.3662415	1.6	0.19	-1.1015625	0.41
17280	20151201	12.0	59.4352	10.578	14.0	4.1976624	5.630768	5.123932	6.8	0.0	-1.43310546875	0.35
17280	20151202	12.0	59.4352	10.578	14.0	6.7561035	6.402588	6.947998	4.6	0.0	0.353515625	1.0
17280	20151203	12.0	59.4352	10.578	14.0	3.6427002	4.633423	4.3409424	5.2	0.0	-0.99072265625	0.3
17280	20151204	12.0	59.4352	10.578	14.0	5.6078186	6.6634827	6.058014	5.9	0.72	-1.0556640625	0.57
17280	20151205	12.0	59.4352	10.578	14.0	8.94693	8.855621	9.077789	10.0	1.0	0.09130859375	1.0
17280	20151206	12.0	59.4352	10.578	14.0	7.820221	7.688385	7.960846	9.3	1.0	0.1318359375	1.0
17280	20151207	12.0	59.4352	10.578	14.0	5.1356506	5.5106506	5.4496155	7.1	0.0	-0.375	0.16
17280	20151208	12.0	59.4352	10.578	14.0	7.5055237	7.6842346	7.710602	8.1	0.0	-0.1787109375	0.0
17280	20151209	12.0	59.4352	10.578	14.0	6.2346497	6.929962	6.3381653	7.9	0.0	-0.6953125	0.85
17280	20151210	12.0	59.4352	10.578	14.0	8.560638	8.738861	8.795502	9.0	0.0	-0.17822265625	0.0
17280	20151211	12.0	59.4352	10.578	14.0	2.9617004	3.1687317	3.1169739	3.6	0.0	-0.20703125	0.25
17280	20151212	12.0	59.4352	10.578	14.0	1.2862854	3.030426	2.358551	5.1	0.0	-1.744140625	0.39
17280	20151213	12.0	59.4352	10.578	14.0	-0.8014221	0.9163513	0.03842163	2.2	0.0	-1.7177734375	0.51
